#openTime	openPrice	closePrice	volume
1288026769000	0.9916	0.9915	2000
1288029862000	127.31	127.12	2000
1288047858000	1.57	1.5732	2000
1288053418000	1.5741	1.5835	2000
1288070801000	0.9926	0.9885	2000
1288100824000	1.5549	1.5614	2000
1288107847000	129.1	128.98	2000
1288116696000	81.65	81.47	2000
1288116742000	0.9819	0.9837	2000
1288118814000	129.2	128.95	2000
1288139406000	0.9835	0.9791	2000
1288141176000	129.21	129.31	2000
1288142508000	81.72	81.61	2000
1288144889000	1.5862	1.5828	2000
1288149860000	81.75	81.62	2000
1288152558000	1.0269	1.0258	2000
1288156306000	1.5843	1.581	2000
1288170004000	1.5668	1.5621	2000
1288192061000	1.3763	1.3795	2000
1288209410000	0.9722	0.975	2000
1288211981000	129.03	128.85	2000
1288223083000	1.3798	1.3815	2000
1288226877000	0.9752	0.975	2000
1288244330000	1.5812	1.5785	2000
1288278709000	1.5965	1.593	2000
1288279006000	1.3921	1.3936	2000
1288291213000	112.95	112.42	2000
1288295320000	1.5946	1.5937	2000
1288310327000	1.3726	1.3707	2000
1288310372000	0.9797	0.9753	2000
1288313080000	1.5746	1.5714	2000
1288314112000	0.9753	0.9767	2000
1288314147000	128.81	128.67	2000
1288314196000	78.83	78.82	2000
1288314247000	112.35	112.08	2000
1288331876000	1.3877	1.3884	2000
1288331965000	111.92	112.03	2000
1288335869000	0.9744	0.9768	2000
1288355410000	1.5797	1.5744	2000
1288355957000	1.5979	1.6019	2000
1288356626000	128.94	129.59	2000
1288356801000	1.391	1.3945	2000
1288363006000	79.05	79.04	2000
1288365779000	0.981	0.9832	2000
1288563661000	1.6057	1.6006	2000
1288564290000	79.24	79.55	2000
1288570050000	1.5826	1.5781	2000
1288573280000	1.6062	1.6029	2000
1288576195000	0.9879	0.987	2000
1288577183000	1.3996	1.3962	2000
1288602554000	112.53	112.1	2000
1288620414000	1.5929	1.5902	2000
1288638403000	111.79	111.94	2000
1288638455000	1.0187	1.0159	2000
1288644176000	111.85	112.11	2000
1288668604000	80.03	80.37	2000
1288668669000	0.9981	0.9985	2000
1288810476000	114.72	114.27	2000
1288814552000	1.0043	1.0035	2000
1288857287000	1.4148	1.4207	2000
1288887085000	1.015	1.0093	2000
1288887106000	1.6272	1.6102	2000
1288898714000	81.84	81.91	2000
1291593616000	1.5769	1.5753	1000
